Symbol,Name,Sector,Price,Price/Earnings,Earnings/Share,52 Week High,52 Week Low
CMI,Cummins Inc.,Industrials,165.73,16.83,8.23,194.18,143.8301
CVS,CVS Health,Consumer Staples,70.55,12.36,4.91,84,66.45
DHI,D. R. Horton,Consumer Discretionary,44.55,16.32,2.73,53.32,29.3716
DHR,Danaher Corp.,Health Care,92.16,22.87,3.53,104.82,78.97
DRI,Darden Restaurants,Consumer Discretionary,91.33,22.72,3.81,100.11,71.7
DVA,DaVita Inc.,Health Care,71.91,20.55,4.3,80.71,52.51
DE,Deere & Co.,Industrials,153.66,23.14,6.64,171.96,106.72
DAL,Delta Air Lines Inc.,Industrials,51.23,10.37,4.94,60.79,43.81
XRAY,Dentsply Sirona,Health Care,56.85,22.65,1.99,68.98,52.535
DVN,Devon Energy Corp.,Energy,34.94,23.93,-6.89,47.25,28.7947
DLR,Digital Realty Trust Inc,Real Estate,98.96,16.55,2.19,127.23,101.101
DFS,Discover Financial Services,Financials,72.4,12.13,5.41,81.93,57.5
DISCA,Discovery Communications-A,Consumer Discretionary,22.87,11,1.96,30.25,15.99
DISCK,Discovery Communications-C,Consumer Discretionary,21.58,10.37,1.96,29.18,14.99
DISH,Dish Network,Consumer Discretionary,43.77,16.09,3.06,66.5,42.48
DG,Dollar General,Consumer Discretionary,95.1,21.18,4.43,105.82,65.97
DLTR,Dollar Tree,Consumer Discretionary,101.58,26.66,3.77,116.65,65.63
D,Dominion Energy,Utilities,73.31,20.42,4.91,85.3,71.59
DOV,Dover Corp.,Industrials,96.2,23.87,5.15,109.06,75.51
DWDP,DowDuPont,Materials,68.21,49.43,1.59,77.08,64.01
DPS,Dr Pepper Snapple Group,Consumer Staples,116.93,26.57,4.54,126.65,83.23
DTE,DTE Energy Co.,Utilities,98.49,19.12,4.82,116.74,96.56
DUK,Duke Energy,Utilities,74.32,16.7,3.12,91.8,72.93
DRE,Duke Realty Corp,Real Estate,24.52,19.77,0.88,30.14,24.73
DXC,DXC Technology,Information Technology,91.92,79.93,-0.89,102.95,67.76
ETFC,E*Trade,Financials,48.48,22.14,2.15,56,32.25
EMN,Eastman Chemical,Materials,93.57,12.28,10.12,104.08,76.02
ETN,Eaton Corporation,Industrials,79.41,17.08,6.68,89.85,69.45
EBAY,eBay Inc.,Information Technology,41.02,24.86,-1.07,46.99,31.89
ECL,Ecolab Inc.,Materials,127.76,28.08,4.14,140.5,119.61
EIX,Edison Int'l,Utilities,58.07,13.23,3.96,83.38,58.76
EW,Edwards Lifesciences,Health Care,123.78,32.57,2.88,138.48,89.2
EA,Electronic Arts,Information Technology,116.54,34.48,3.07,131.01,81.27
